protein name,invasive counts,invasive fraction,non-invasive counts,non-invasive fraction
F5H4L7,133,0.20336,74,0.25694
F5GXI6,21,0.03211,16,0.05556
F5GX91,2,0.00306,0,0.0
MESD,22,0.03364,20,0.06944
J3KPB0,1,0.00153,0,0.0
A6NE76,67,0.10245,37,0.12847
C9J9M8,1,0.00153,0,0.0
U520,217,0.3318,135,0.46875
H7C4A9,13,0.01988,4,0.01389
H7BYL6,4,0.00612,4,0.01389
J3KTG2,8,0.01223,15,0.05208
ZNRF2,7,0.0107,3,0.01042
CCD38,2,0.00306,0,0.0
NOD2,1,0.00153,0,0.0
H7C010,1,0.00153,0,0.0
J3KPT4,5,0.00765,3,0.01042
UBP12,2,0.00306,4,0.01389
NALCN,2,0.00306,2,0.00694
TMED9,170,0.25994,111,0.38542
DPM3,25,0.03823,16,0.05556
Q5VZU1,3,0.00459,2,0.00694
B3KR61,7,0.0107,3,0.01042
I17RD,0,0.0,1,0.00347
C9JC32,1,0.00153,1,0.00347
VNN1,3,0.00459,3,0.01042
LCN15,7,0.0107,11,0.03819
SCAM4,21,0.03211,14,0.04861
C9J5D1,38,0.0581,26,0.09028
GSHR,85,0.12997,58,0.20139
H7C4G5,63,0.09633,41,0.14236
CP1B1,0,0.0,1,0.00347
B3GT6,0,0.0,1,0.00347
B7Z403,174,0.26606,106,0.36806
FBW10,0,0.0,1,0.00347
CY15B,1,0.00153,2,0.00694
C9J1B1,25,0.03823,17,0.05903
HIS3,1,0.00153,0,0.0
ANO6,5,0.00765,2,0.00694
A6QRG9,12,0.01835,5,0.01736
M0QZW0,2,0.00306,0,0.0
CRTC3,1,0.00153,0,0.0
F8WA96,3,0.00459,1,0.00347
B1AN89,2,0.00306,0,0.0
D6R9Z7,29,0.04434,17,0.05903
CN166,65,0.09939,39,0.13542
H3BNP8,1,0.00153,0,0.0
A2SY06,1,0.00153,0,0.0
AT131,90,0.13761,58,0.20139
J3QSB5,44,0.06728,27,0.09375
CY24B,12,0.01835,8,0.02778
LEG2,1,0.00153,0,0.0
OBRG,2,0.00306,1,0.00347
E7EUG6,28,0.04281,18,0.0625
F5GXT2,0,0.0,1,0.00347
F5H1R4,4,0.00612,9,0.03125
J3QRE1,1,0.00153,1,0.00347
H7C2A1,3,0.00459,0,0.0
A6NFV8,14,0.02141,12,0.04167
SETD2,1,0.00153,1,0.00347
ATPO,44,0.06728,34,0.11806
TJAP1,1,0.00153,0,0.0
E9PHI6,67,0.10245,41,0.14236
Q5TA58,26,0.03976,13,0.04514
CA122,1,0.00153,2,0.00694
ADIRF,9,0.01376,0,0.0
C9J8N6,82,0.12538,51,0.17708
KLF16,3,0.00459,0,0.0
GRIN3,0,0.0,1,0.00347
E9PLB2,45,0.06881,26,0.09028
E9PM39,1,0.00153,0,0.0
F8VUG2,260,0.39755,166,0.57639
TMM8A,2,0.00306,0,0.0
E9PIY6,0,0.0,3,0.01042
TNAP2,5,0.00765,5,0.01736
E9PMA8,1,0.00153,0,0.0
B8ZZF6,51,0.07798,33,0.11458
F8VWT9,3,0.00459,2,0.00694
H7C450,1,0.00153,0,0.0
ITAM,106,0.16208,68,0.23611
F5GXM1,68,0.10398,43,0.14931
E7EN67,2,0.00306,1,0.00347
E7EN46,2,0.00306,1,0.00347
M0QYW5,4,0.00612,2,0.00694
PCDA5,4,0.00612,0,0.0
C9J8B4,9,0.01376,5,0.01736
C9JAK5,126,0.19266,77,0.26736
E9PMR6,10,0.01529,3,0.01042
C9J9X7,1,0.00153,0,0.0
RIPK1,44,0.06728,32,0.11111
E9PJG8,14,0.02141,12,0.04167
ARP3B,2,0.00306,0,0.0
C9J9G2,1,0.00153,0,0.0
B4E1S6,1,0.00153,0,0.0
D6REN0,0,0.0,1,0.00347
E7EMS6,100,0.15291,69,0.23958
B0AZS3,0,0.0,1,0.00347
F8VS61,1,0.00153,0,0.0
C9IY70,7,0.0107,3,0.01042
E9PMH2,72,0.11009,36,0.125
THSD4,4,0.00612,3,0.01042
H0Y764,16,0.02446,17,0.05903
E7EPN8,1,0.00153,0,0.0
RPA49,10,0.01529,5,0.01736
H0YC24,0,0.0,1,0.00347
E7EMK3,124,0.1896,78,0.27083
MAP7,51,0.07798,36,0.125
E9PR28,0,0.0,2,0.00694
K7EIT0,3,0.00459,1,0.00347
E5RH41,4,0.00612,0,0.0
E7EP56,2,0.00306,1,0.00347
B1APP6,99,0.15138,64,0.22222
E5RIY1,36,0.05505,20,0.06944
F8WFE0,7,0.0107,4,0.01389
D6RJ90,0,0.0,1,0.00347
RM53,29,0.04434,11,0.03819
COR2B,2,0.00306,0,0.0
D6REM5,0,0.0,1,0.00347
C9JIN9,5,0.00765,3,0.01042
B1B0M1,23,0.03517,29,0.10069
B4DDG6,1,0.00153,0,0.0
EFNA4,0,0.0,1,0.00347
ITB5,8,0.01223,1,0.00347
E9PED7,5,0.00765,0,0.0
ZN251,1,0.00153,0,0.0
H7BYM6,64,0.09786,36,0.125
H0YBN5,12,0.01835,7,0.02431
HXD13,1,0.00153,0,0.0
Q8N8C4,1,0.00153,0,0.0
M0R1T2,1,0.00153,1,0.00347
TGM4,2,0.00306,0,0.0
IFRD1,0,0.0,1,0.00347
NDUB3,6,0.00917,4,0.01389
FIP1,56,0.08563,40,0.13889
H0YKM4,1,0.00153,0,0.0
Q75MJ1,23,0.03517,18,0.0625
PLCG2,6,0.00917,9,0.03125
F5GWD2,114,0.17431,82,0.28472
J3QLR7,20,0.03058,15,0.05208
J3KQB2,2,0.00306,0,0.0
F5GY78,5,0.00765,9,0.03125
SE1L3,9,0.01376,6,0.02083
E5RIN2,19,0.02905,5,0.01736
F5H0M4,12,0.01835,12,0.04167
TXLNA,30,0.04587,28,0.09722
F6U784,34,0.05199,19,0.06597
IHH,1,0.00153,0,0.0
E9PIS4,21,0.03211,13,0.04514
F8W9U3,17,0.02599,13,0.04514
F167A,2,0.00306,1,0.00347
RSPRY,2,0.00306,2,0.00694
ASCL2,0,0.0,1,0.00347
H7C0G8,0,0.0,1,0.00347
KFA,1,0.00153,1,0.00347
A6NGQ3,4,0.00612,3,0.01042
Q5R3K2,0,0.0,3,0.01042
MAFF,1,0.00153,0,0.0
B4DNM9,54,0.08257,27,0.09375
HXA2,2,0.00306,0,0.0
HECW2,1,0.00153,1,0.00347
H7C094,1,0.00153,0,0.0
F5H6S6,0,0.0,1,0.00347
D6REZ4,1,0.00153,0,0.0
PARP4,237,0.36239,136,0.47222
B5MBX2,1,0.00153,0,0.0
ZC3H3,1,0.00153,0,0.0
ZN610,1,0.00153,0,0.0
K7EIT3,2,0.00306,1,0.00347
MPRIP,9,0.01376,6,0.02083
B4DPK1,1,0.00153,0,0.0
MINA,4,0.00612,3,0.01042
GPC5,1,0.00153,0,0.0
I3L2J3,1,0.00153,0,0.0
H7BZU1,29,0.04434,17,0.05903
M0QZ70,11,0.01682,4,0.01389
H0YK72,13,0.01988,8,0.02778
B4DX10,0,0.0,1,0.00347
K7EIV0,140,0.21407,88,0.30556
ZN800,2,0.00306,0,0.0
GP180,0,0.0,1,0.00347
TSNAX,23,0.03517,13,0.04514
M0QYH0,12,0.01835,7,0.02431
ASIC2,2,0.00306,0,0.0
D6RAG9,0,0.0,1,0.00347
F8WC57,40,0.06116,18,0.0625
B7Z452,16,0.02446,9,0.03125
EED,0,0.0,1,0.00347
K7ELV1,1,0.00153,0,0.0
E9PBR5,17,0.02599,10,0.03472
B7Z321,74,0.11315,42,0.14583
P53,1,0.00153,0,0.0
HRCT1,1,0.00153,1,0.00347
Q2TB82,2,0.00306,1,0.00347
UGDH,239,0.36544,146,0.50694
E5RFG3,49,0.07492,28,0.09722
BBS12,15,0.02294,5,0.01736
NDUB6,13,0.01988,14,0.04861
K7EJ49,3,0.00459,2,0.00694
F5H785,4,0.00612,4,0.01389
ZN490,1,0.00153,0,0.0
B4DX42,72,0.11009,47,0.16319
CD34,1,0.00153,0,0.0
CKAP4,365,0.5581,216,0.75
ABC3D,1,0.00153,1,0.00347
KI67,81,0.12385,43,0.14931
C9JT55,2,0.00306,1,0.00347
F5H0G8,1,0.00153,1,0.00347
H7BYF2,39,0.05963,22,0.07639
A6NHC7,1,0.00153,0,0.0
H0YJD0,0,0.0,1,0.00347
E9PGT6,24,0.0367,16,0.05556
DNJC1,15,0.02294,9,0.03125
F8WBJ6,22,0.03364,8,0.02778
TNNI2,1,0.00153,0,0.0
C9J4Z3,147,0.22477,103,0.35764
VAPB,48,0.07339,32,0.11111
F5H345,16,0.02446,15,0.05208
CAN6,2,0.00306,0,0.0
E7ERH5,50,0.07645,31,0.10764
E9PNU4,7,0.0107,2,0.00694
MSPD2,13,0.01988,2,0.00694
B4DH42,3,0.00459,0,0.0
AGAL,10,0.01529,9,0.03125
H3BMJ2,1,0.00153,1,0.00347
F8W8V9,21,0.03211,10,0.03472
H0YH34,1,0.00153,0,0.0
D6RCL5,2,0.00306,0,0.0
E5RH21,1,0.00153,1,0.00347
GRPE1,96,0.14679,61,0.21181
KCE1L,1,0.00153,0,0.0
SCLY,3,0.00459,2,0.00694
H7BZ35,109,0.16667,69,0.23958
F8VPD4,294,0.44954,175,0.60764
H0YCH8,0,0.0,1,0.00347
ZBT16,1,0.00153,0,0.0
ZN628,0,0.0,1,0.00347
ECHD1,80,0.12232,54,0.1875
MYOD1,0,0.0,1,0.00347
H0YLB5,0,0.0,1,0.00347
K7EIY2,0,0.0,1,0.00347
J3KSK6,3,0.00459,2,0.00694
MGST2,45,0.06881,28,0.09722
H0YLG5,28,0.04281,18,0.0625
PTGES,4,0.00612,1,0.00347
B4DYU0,1,0.00153,1,0.00347
H7C0B3,0,0.0,1,0.00347
E5RIP1,37,0.05657,26,0.09028
A8MX49,9,0.01376,9,0.03125
Q5T670,1,0.00153,0,0.0
K7EKB2,13,0.01988,3,0.01042
RIF1,4,0.00612,1,0.00347
H3BR83,1,0.00153,0,0.0
E9PN02,3,0.00459,1,0.00347
B4DEM1,2,0.00306,0,0.0
MAGBA,0,0.0,1,0.00347
CRCM1,0,0.0,5,0.01736
CAPG,54,0.08257,33,0.11458
C9JF51,20,0.03058,12,0.04167
G3XAH6,1,0.00153,2,0.00694
APC7,19,0.02905,9,0.03125
UBXN4,30,0.04587,25,0.08681
H0YMW7,7,0.0107,1,0.00347
A8MY76,53,0.08104,31,0.10764
B5MDL5,6,0.00917,4,0.01389
E5RFE4,2,0.00306,1,0.00347
LEUTX,2,0.00306,1,0.00347
SNF8,26,0.03976,18,0.0625
U17L3,13,0.01988,8,0.02778
B1ANM0,33,0.05046,22,0.07639
BCOR,1,0.00153,0,0.0
A2A2G5,4,0.00612,1,0.00347
H0YKX0,0,0.0,2,0.00694
F5H855,10,0.01529,7,0.02431
C9JMU5,265,0.4052,165,0.57292
B7ZLH2,1,0.00153,0,0.0
E5RGZ4,1,0.00153,1,0.00347
OR4FL,2,0.00306,2,0.00694
K1467,0,0.0,1,0.00347
DZI1L,1,0.00153,0,0.0
RAB23,17,0.02599,14,0.04861
B7Z5P9,4,0.00612,1,0.00347
H7BZR6,2,0.00306,2,0.00694
H0YKS1,4,0.00612,0,0.0
